question_id,ret_jaccard_mean,ret_jaccard_std,ret_n_pairs,cit_jaccard_mean,cit_n_pairs,ans_bertscore_f1_mean,ans_bertscore_f1_std,ans_n_pairs,paraphrase_bertscore_f1
Q001,1.0,0.0,10,0.8,10,0.9735382795333862,0.013322039507329464,10,0.6748542785644531
Q002,1.0,0.0,10,1.0,10,0.9964779615402222,0.0019773219246417284,10,0.9032430052757263
Q003,1.0,0.0,10,0.92,10,0.8491689562797546,0.03085140325129032,10,0.7700468301773071
Q004,1.0,0.0,10,0.85,10,0.9355212450027466,0.01959731988608837,10,0.8746163845062256
Q005,1.0,0.0,10,1.0,10,0.9481156468391418,0.016279486939311028,10,0.8503624200820923
Q006,1.0,0.0,10,0.8,10,0.8882676362991333,0.026437757536768913,10,0.7887157201766968
Q007,1.0,0.0,10,1.0,10,0.9999998807907104,6.282881059860301e-08,10,1.0
Q008,1.0,0.0,10,1.0,10,0.9458383321762085,0.029332462698221207,10,0.8227252960205078
Q009,1.0,0.0,10,0.84,10,0.8674945831298828,0.03139562904834747,10,0.7327576279640198
Q010,1.0,0.0,10,1.0,10,0.9043723940849304,0.02545556239783764,10,0.8081264495849609
Q011,1.0,0.0,10,0.6,10,0.8645723462104797,0.07767282426357269,10,0.7301695942878723
Q012,1.0,0.0,10,1.0,10,0.9501000642776489,0.017553096637129784,10,0.6971943974494934
Q013,1.0,0.0,10,1.0,10,0.8676551580429077,0.033211153000593185,10,0.7177863717079163
Q014,1.0,0.0,10,1.0,10,0.9869738817214966,0.008859389461576939,10,0.8655397295951843
Q015,1.0,0.0,10,1.0,10,0.9269614219665527,0.025752602145075798,10,0.7086703777313232
Q016,1.0,0.0,10,1.0,10,0.9868316650390625,0.01361939124763012,10,0.7483181357383728
Q017,1.0,0.0,10,1.0,10,0.9999998807907104,6.282881059860301e-08,10,0.8884618282318115
Q018,1.0,0.0,10,1.0,10,0.9113271832466125,0.0478687584400177,10,0.7382376194000244
Q019,1.0,0.0,10,0.7333333333333333,10,0.9670611619949341,0.014491939917206764,10,0.8001644611358643
Q020,1.0,0.0,10,0.88,10,0.8594306707382202,0.04128561168909073,10,0.6724951863288879
Q021,1.0,0.0,10,0.9,10,0.9391360282897949,0.027849720790982246,10,0.6504990458488464
Q022,1.0,0.0,10,0.5499999999999999,10,0.8298242688179016,0.03282615914940834,10,0.723619282245636
Q023,1.0,0.0,10,1.0,10,0.9771835207939148,0.013402500189840794,10,0.6698237061500549
Q024,1.0,0.0,10,1.0,10,0.947221577167511,0.021130120381712914,10,0.7641558647155762
Q025,1.0,0.0,10,1.0,10,0.9176031947135925,0.058745913207530975,10,0.6539911031723022
Q026,1.0,0.0,10,1.0,10,1.0,0.0,10,0.8682925701141357
Q027,1.0,0.0,10,1.0,10,0.9005661010742188,0.03380456939339638,10,0.7410653233528137
Q028,1.0,0.0,10,1.0,10,0.9999998807907104,6.282881059860301e-08,10,0.9999999403953552
Q029,1.0,0.0,10,1.0,10,0.9999998807907104,6.282881059860301e-08,10,0.7379515767097473
Q030,1.0,0.0,10,1.0,10,0.900564968585968,0.037654269486665726,10,0.6976872086524963
Q031,1.0,0.0,10,1.0,10,0.9689551591873169,0.03658020868897438,10,0.7039549350738525
Q032,1.0,0.0,10,1.0,10,0.8785216212272644,0.046548277139663696,10,0.719191312789917
Q033,1.0,0.0,10,1.0,10,0.9704048037528992,0.013309841975569725,10,0.7143902778625488
Q034,1.0,0.0,10,1.0,10,0.9700943827629089,0.01861908659338951,10,0.7334558963775635
Q035,1.0,0.0,10,1.0,10,0.9658610224723816,0.01750575192272663,10,0.8479083180427551
Q036,1.0,0.0,10,0.9,10,0.9562432169914246,0.05415303632616997,10,0.6959187388420105
Q037,1.0,0.0,10,0.8666666666666667,10,0.889232337474823,0.01923404261469841,10,0.7312140464782715
Q038,1.0,0.0,10,1.0,10,0.9940640330314636,0.00502781942486763,10,0.8749940991401672
Q039,1.0,0.0,10,1.0,10,0.8959342837333679,0.05283359810709953,10,0.6735356450080872
Q040,1.0,0.0,10,1.0,10,0.9310706853866577,0.01227903738617897,10,0.8812350630760193
Q041,1.0,0.0,10,0.7,10,0.8884938955307007,0.028280312195420265,10,0.6386954188346863
Q042,1.0,0.0,10,0.785,10,0.8792867660522461,0.04505683481693268,10,0.7580990791320801
Q043,1.0,0.0,10,1.0,10,1.0,0.0,10,0.6876060366630554
Q044,1.0,0.0,10,0.88,10,0.896557629108429,0.053309109061956406,10,0.7633190751075745
Q045,1.0,0.0,10,1.0,10,0.9610550999641418,0.019740523770451546,10,0.6792742609977722
Q046,1.0,0.0,10,1.0,10,0.9999998807907104,6.282881059860301e-08,10,0.710353672504425
Q047,1.0,0.0,10,0.7999999999999999,10,0.8716663122177124,0.06325188279151917,10,0.6335117220878601
Q048,1.0,0.0,10,1.0,10,0.9192091822624207,0.018778890371322632,10,0.7141029834747314
Q049,1.0,0.0,10,0.92,10,0.945318341255188,0.008062534034252167,10,0.8494048714637756
Q050,1.0,0.0,10,1.0,10,0.9999998807907104,6.282881059860301e-08,10,0.9999999403953552
